Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_ms,Device_Time_ms,Speedup
jetplane.pgm,512,512,0.5,60,100,30.188896,1.425408,21.17
jetplane.pgm,512,512,0.5,60,110,35.213089,1.454560,24.20
jetplane.pgm,512,512,0.5,60,120,30.205025,1.436256,21.03
jetplane.pgm,512,512,0.5,60,130,29.957632,1.434976,20.87
jetplane.pgm,512,512,0.5,70,80,31.074080,1.429280,21.74
jetplane.pgm,512,512,0.5,70,90,30.839968,1.426144,21.62
jetplane.pgm,512,512,0.5,70,100,30.810112,1.446496,21.29
jetplane.pgm,512,512,0.5,70,110,36.238750,1.550656,23.36
jetplane.pgm,512,512,0.5,70,120,29.777344,1.415456,21.03
jetplane.pgm,512,512,0.5,70,130,31.077312,1.439392,21.59
jetplane.pgm,512,512,0.75,20,80,29.831327,1.449248,20.58
jetplane.pgm,512,512,0.75,20,90,31.075329,1.439296,21.59
jetplane.pgm,512,512,0.75,20,100,37.256416,1.553216,23.98
jetplane.pgm,512,512,0.75,20,110,30.918367,1.428288,21.64
jetplane.pgm,512,512,0.75,20,120,29.749792,1.434592,20.73
jetplane.pgm,512,512,0.75,20,130,29.700735,1.427392,20.80
jetplane.pgm,512,512,0.75,30,80,29.499071,1.408160,20.94
jetplane.pgm,512,512,0.75,30,90,29.685951,1.456224,20.38
jetplane.pgm,512,512,0.75,30,100,29.784897,1.407424,21.16
jetplane.pgm,512,512,0.75,30,110,29.851393,1.437952,20.75
jetplane.pgm,512,512,0.75,30,120,31.157761,1.429376,21.79
jetplane.pgm,512,512,0.75,30,130,31.079905,1.413696,21.98
jetplane.pgm,512,512,0.75,40,80,37.710495,1.439072,26.20
jetplane.pgm,512,512,0.75,40,90,30.051264,1.436320,20.92
jetplane.pgm,512,512,0.75,40,100,29.710112,1.396864,21.26
jetplane.pgm,512,512,0.75,40,110,30.983521,1.430720,21.65
jetplane.pgm,512,512,0.75,40,120,29.555712,1.424224,20.75
jetplane.pgm,512,512,0.75,40,130,30.841824,1.453472,21.21
jetplane.pgm,512,512,0.75,50,80,30.066496,1.420192,21.17
jetplane.pgm,512,512,0.75,50,90,31.296991,1.448576,21.60
jetplane.pgm,512,512,0.75,50,100,37.554111,1.431616,26.23
jetplane.pgm,512,512,0.75,50,110,37.401440,1.426560,26.21
jetplane.pgm,512,512,0.75,50,120,31.037249,1.450560,21.39
jetplane.pgm,512,512,0.75,50,130,37.344734,1.463648,25.51
jetplane.pgm,512,512,0.75,60,80,29.831392,1.442752,20.67
jetplane.pgm,512,512,0.75,60,90,29.707008,1.416064,20.97
jetplane.pgm,512,512,0.75,60,100,29.638048,1.439360,20.59
jetplane.pgm,512,512,0.75,60,110,37.838047,1.449056,26.11
jetplane.pgm,512,512,0.75,60,120,31.017952,1.417088,21.88
jetplane.pgm,512,512,0.75,60,130,37.505344,1.446784,25.92
jetplane.pgm,512,512,0.75,70,80,29.762367,1.421984,20.93
jetplane.pgm,512,512,0.75,70,90,31.245953,1.424384,21.93
jetplane.pgm,512,512,0.75,70,100,31.071552,1.431360,21.70
jetplane.pgm,512,512,0.75,70,110,31.205791,1.437920,21.70
jetplane.pgm,512,512,0.75,70,120,29.827040,1.424224,20.94
jetplane.pgm,512,512,0.75,70,130,31.109535,1.439232,21.61
jetplane.pgm,512,512,1.0,20,80,31.066816,1.422048,21.84
jetplane.pgm,512,512,1.0,20,90,38.731007,1.430112,27.08
jetplane.pgm,512,512,1.0,20,100,38.057758,1.450560,26.23
jetplane.pgm,512,512,1.0,20,110,31.033728,1.459200,21.26
jetplane.pgm,512,512,1.0,20,120,29.918528,1.431648,20.89
jetplane.pgm,512,512,1.0,20,130,29.855520,1.405216,21.24
jetplane.pgm,512,512,1.0,30,80,31.191263,1.438720,21.67
jetplane.pgm,512,512,1.0,30,90,30.899040,1.458496,21.18
jetplane.pgm,512,512,1.0,30,100,30.755775,1.436224,21.41
jetplane.pgm,512,512,1.0,30,110,29.994400,1.405088,21.34
jetplane.pgm,512,512,1.0,30,120,30.779137,1.429216,21.53
jetplane.pgm,512,512,1.0,30,130,29.728128,1.433920,20.73
jetplane.pgm,512,512,1.0,40,80,31.139263,1.418272,21.95
jetplane.pgm,512,512,1.0,40,90,30.750719,1.453120,21.16
jetplane.pgm,512,512,1.0,40,100,29.669985,1.409408,21.05
jetplane.pgm,512,512,1.0,40,110,37.243393,1.433568,25.97
jetplane.pgm,512,512,1.0,40,120,29.937569,1.431584,20.91
jetplane.pgm,512,512,1.0,40,130,29.955616,1.414944,21.17
jetplane.pgm,512,512,1.0,50,80,30.980864,1.430048,21.66
jetplane.pgm,512,512,1.0,50,90,29.794559,1.451680,20.52
jetplane.pgm,512,512,1.0,50,100,29.977472,1.433024,20.91
jetplane.pgm,512,512,1.0,50,110,30.298016,1.428416,21.21
jetplane.pgm,512,512,1.0,50,120,29.695904,1.411136,21.04
